UnderlyingName,OptionType,ContractMonth,StrikePrice,Col5,CallSecurityCode,CallBid,CallAsk,CallClose,TheoreticalPrice,PutSecurityCode,PutBid,PutAsk,UnderlyingClose,IV,BaseVolatility,Delta,ContractMonthDt
NK225E    ,OOP,202605,10000.0,            ,181290018,0000000.0000,0000000.0,0.0,1.568317,191290018,0000000.0000,0000000.0,49523.98,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,12000.0,            ,181292018,0000000.0000,0000000.0,0.03,1.568317,191292018,0000000.0000,0000000.0,47525.14,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,14000.0,            ,181294018,0000000.0000,0000000.0,0.22,1.568317,191294018,0000000.0000,0000000.0,45526.46,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,16000.0,            ,181296018,0000001.0000,0000000.0,0.96,1.568317,191296018,0000000.0000,0000000.0,43528.33,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,18000.0,            ,181298018,0000001.0000,0000000.0,0.84,1.418096,191298018,0000000.0000,0000000.0,41529.34,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,20000.0,            ,131410018,0000001.0000,0000000.0,0.97,1.30926,141410018,0000000.0000,0000000.0,39530.6,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,22000.0,            ,131052018,0000001.0000,0000000.0,1.49,1.236789,141052018,0000000.0000,0000000.0,37532.2,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,23000.0,            ,131053018,0000002.0000,0000000.0,1.49,1.183564,141053018,0000000.0000,0000000.0,36532.76,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,24000.0,            ,131054018,0000002.0000,0000000.0,1.49,1.132614,141054018,0000000.0000,0000000.0,35533.32,0.01,59518.34,0.2686,2026-05-01
NK225E    ,OOP,202605,25000.0,            ,131055018,0000001.0000,0000000.0,1.49,1.083747,141055018,0000000.0000,0000000.0,34533.88,0.01,59518.34,0.2686,2026-05-01
