UnderlyingName,OptionType,ContractMonth,StrikePrice,Col5,CallSecurityCode,CallBid,CallAsk,CallClose,TheoreticalPrice,PutSecurityCode,PutBid,PutAsk,UnderlyingClose,IV,BaseVolatility,Delta,ContractMonthDt
NK225E    ,OOP,202604,10000.0,            ,131400018,0000000.0000,0000000.0,1.0,2.514208,141400018,0000000.0000,0000000.0,43031.01,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,12000.0,            ,181282018,0000001.0000,0000000.0,0.91,2.22843,191282018,0000000.0000,0000000.0,41031.51,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,14000.0,            ,181284018,0000001.0000,0000000.0,0.96,2.120473,191284018,0000000.0000,0000000.0,39032.16,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,16000.0,            ,181286018,0000001.0000,0000000.0,1.42,1.863935,191286018,0000000.0000,0000000.0,37033.32,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,18000.0,            ,181288018,0000002.0000,0000000.0,1.41,1.685282,191288018,0000000.0000,0000000.0,35033.92,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,20000.0,            ,131040018,0000002.0000,0000000.0,2.35,1.588167,141040018,0000000.0000,0000000.0,33035.54,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,21000.0,            ,131041018,0000002.0000,0000000.0,2.81,1.534374,141041018,0000000.0000,0000000.0,32036.31,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,22000.0,            ,131042018,0000005.0000,0000000.0,3.28,1.479415,141042018,0000000.0000,0000000.0,31037.16,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,23000.0,            ,131043018,0000004.0000,0000000.0,3.74,1.424098,141043018,0000000.0000,0000000.0,30038.48,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,24000.0,            ,131044018,0000005.0000,0000000.0,5.0,1.390352,141044018,0000000.0000,0000000.0,29038.73,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,25000.0,            ,131045018,0000005.0000,0000000.0,5.12,1.325654,141045018,0000000.0000,0000000.0,28040.11,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,26000.0,            ,131046018,0000007.0000,0000000.0,6.52,1.288954,141046018,0000000.0000,0000000.0,27041.94,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,27000.0,            ,131047018,0000007.0000,0000000.0,7.44,1.240411,141047018,0000000.0000,0000000.0,26043.77,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,28000.0,            ,131048018,0000010.0000,0000000.0,10.0,1.213182,141048018,0000000.0000,0000000.0,25045.61,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,29000.0,            ,131049018,0000011.0000,0000000.0,12.07,1.174055,141049018,0000000.0000,0000000.0,24047.45,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,29500.0,            ,131049518,0000015.0000,0000000.0,12.52,1.161582,141049518,0000000.0000,0000000.0,23548.63,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,29750.0,            ,131049718,0000000.0000,0000000.0,12.98,1.146141,141049718,0000000.0000,0000000.0,23299.72,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,30000.0,            ,181040018,0000015.0000,0000000.0,14.99,1.139453,191040018,0000000.0000,0000000.0,23050.24,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,30250.0,            ,131040218,0000000.0000,0000000.0,14.36,1.132283,141040218,0000000.0000,0000000.0,22800.9,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,30500.0,            ,131040518,0000018.0000,0000000.0,14.35,1.117006,141040518,0000000.0000,0000000.0,22552.0,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,30750.0,            ,131040718,0000016.0000,0000000.0,15.27,1.109435,141040718,0000000.0000,0000000.0,22302.59,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,31000.0,            ,181041018,0000017.0000,0000000.0,17.0,1.0943,191041018,0000000.0000,0000000.0,22053.18,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,31250.0,            ,131041218,0000023.0000,0000000.0,17.12,1.093213,141041218,0000000.0000,0000000.0,21804.28,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,31500.0,            ,131041518,0000018.0000,0000000.0,17.57,1.078137,141041518,0000000.0000,0000000.0,21555.89,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,31750.0,            ,131041718,0000024.0000,0000000.0,18.02,1.069593,141041718,0000000.0000,0000000.0,21305.97,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,32000.0,            ,181042018,0000019.0000,0000000.0,18.94,1.060783,191042018,0000000.0000,0000000.0,21056.56,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,32250.0,            ,131042218,0000020.0000,0000000.0,20.0,1.03983,141042218,0000000.0000,0000000.0,20807.66,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,32500.0,            ,131042518,0000021.0000,0000000.0,20.77,1.042464,141042518,0000000.0000,0000000.0,20558.76,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,32750.0,            ,131042718,0000021.0000,0000000.0,21.69,1.032998,141042718,0000000.0000,0000000.0,20309.86,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,33000.0,            ,181043018,0000024.0000,0000000.0,22.6,1.023352,191043018,0000000.0000,0000000.0,20060.45,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,33250.0,            ,131043218,0000024.0000,0000000.0,23.52,1.013541,141043218,0000000.0000,0000000.0,19811.56,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,33500.0,            ,131043518,0000024.0000,0000000.0,24.43,1.00358,141043518,0000000.0000,0000000.0,19563.17,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,33750.0,            ,131043718,0000027.0000,0000000.0,26.27,0.997949,141043718,0000000.0000,0000000.0,19314.27,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,34000.0,            ,181044018,0000028.0000,0000000.0,28.0,0.978842,191044018,0000000.0000,0000000.0,19066.4,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,34250.0,            ,131044218,0000029.0000,0000000.0,28.09,0.977071,141044218,0000000.0000,0000000.0,18816.99,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,34500.0,            ,131044518,0000031.0000,0000000.0,30.1,0.970414,141044518,0000000.0000,0000000.0,18568.61,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,34750.0,            ,131044718,0000000.0000,0000000.0,30.83,0.959601,141044718,0000000.0000,0000000.0,18319.71,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,35000.0,            ,181045018,0000035.0000,0000000.0,34.99,0.948709,191045018,0000000.0000,0000000.0,18072.35,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,35250.0,            ,131045218,0000000.0000,0000000.0,33.56,0.941246,141045218,0000000.0000,0000000.0,17822.95,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,35500.0,            ,131045518,0000038.0000,0000000.0,35.39,0.933443,141045518,0000000.0000,0000000.0,17574.57,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,35750.0,            ,131045718,0000039.0000,0000000.0,36.5,0.922146,141045718,0000000.0000,0000000.0,17326.87,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,36000.0,            ,181046018,0000040.0000,0000000.0,38.11,0.913892,191046018,0000000.0000,0000000.0,17078.32,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,36250.0,            ,131046218,0000044.0000,0000000.0,39.93,0.905369,141046218,0000000.0000,0000000.0,16830.45,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,36500.0,            ,131046518,0000048.0000,0000000.0,41.75,0.896601,141046518,0000000.0000,0000000.0,16582.58,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,36750.0,            ,131046718,0000055.0000,0000000.0,43.57,0.887606,141046718,0000000.0000,0000000.0,16334.71,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,37000.0,            ,181047018,0000046.0000,0000000.0,45.85,0.878402,191047018,0000000.0000,0000000.0,16086.84,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,37250.0,            ,131047218,0000048.0000,0000000.0,47.66,0.869005,141047218,0000000.0000,0000000.0,15838.98,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,37500.0,            ,131047518,0000059.0000,0000000.0,49.93,0.859428,141047518,0000000.0000,0000000.0,15591.12,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,37750.0,            ,131047718,0000060.0000,0000000.0,52.2,0.851988,141047718,0000000.0000,0000000.0,15343.76,0.01,53373.07,0.4007,2026-04-01
NK225E    ,OOP,202604,38000.0,            ,181048018,0000055.0000,0000000.0,56.34,0.846384,191048018,0000000.0000,0000000.0,15096.41,0.01,53373.07,0.4007,2026-04-01
