month,dte,atm,max_pain,mp_diff,gamma_flip,total_gex_m,gex_pos,call_iv,put_iv,rr,pcr,im,im_pct
202606,14,66375.0,66250.0,-80,66312,195.16,True,23.96,22.38,1.58,0.127,3012,4.5
202607,42,66375.0,66250.0,-80,66312,174.69,True,24.32,23.73,0.59,0.346,5409,8.1
202608,77,66375.0,66250.0,-80,66311,116.03,True,23.89,23.76,0.13,0.707,7263,10.9
202609,105,66250.0,66250.0,-80,66373,156.31,True,24.51,22.53,1.98,0.389,8357,12.6
202610,133,66250.0,66250.0,-80,66373,44.14,True,24.95,23.29,1.66,1.169,9646,14.6
202611,168,66250.0,66250.0,-80,66373,39.32,True,24.57,23.31,1.26,1.298,10760,16.2
202612,196,66250.0,66250.0,-80,66372,101.29,True,23.82,22.87,0.95,0.732,11333,17.1
202701,224,66250.0,66250.0,-80,66372,33.85,True,23.41,22.68,0.73,1.465,11960,18.1
202702,259,66250.0,66250.0,-80,66372,26.05,True,23.08,22.56,0.52,1.821,12735,19.2
202703,287,66250.0,66250.0,-80,66371,28.25,True,22.36,22.01,0.35,1.626,13033,19.7
202704,315,66250.0,66250.0,-80,66371,8.21,True,23.09,22.86,0.23,2.027,14140,21.3
202705,350,66250.0,66250.0,-80,66371,44.93,True,22.8,22.74,0.06,1.059,14772,22.3
202706,378,66250.0,66250.0,-80,66371,35.96,True,22.56,22.61,-0.05,1.511,15227,23.0
202709,469,66250.0,66250.0,-80,66370,13.92,True,21.98,22.37,-0.39,1.85,16653,25.1
202712,560,66250.0,66250.0,-80,66370,30.32,True,21.72,22.34,-0.62,1.617,18078,27.3
202806,742,66250.0,66250.0,-80,66369,0.03,True,20.88,21.98,-1.1,2.176,20242,30.6
202812,924,66250.0,66250.0,-80,66368,-9.61,False,20.38,21.86,-1.48,2.337,22262,33.6
202906,1106,66250.0,66250.0,-80,66367,-16.93,False,20.39,22.2,-1.81,2.43,24558,37.1
202912,1295,66250.0,66250.0,-80,66366,-22.72,False,20.01,22.12,-2.11,2.51,26287,39.7
203006,1477,66250.0,66250.0,-80,66365,-20.95,False,18.86,21.21,-2.35,2.479,26700,40.3
203012,1659,66250.0,66250.0,-80,66364,-22.25,False,18.24,20.82,-2.58,2.505,27584,41.6
203106,1841,66250.0,66250.0,-80,66363,-35.05,False,17.67,20.47,-2.8,2.91,28374,42.8
203112,2023,66250.0,66250.0,-80,66362,-35.32,False,17.11,20.12,-3.01,2.92,29034,43.8
203206,2205,66250.0,66250.0,-80,66362,-47.91,False,18.08,21.31,-3.23,3.109,32070,48.4
203212,2387,66250.0,66250.0,-80,66361,-55.83,False,17.79,21.22,-3.43,3.402,33045,49.9
203306,2569,66250.0,66250.0,-80,66360,-57.71,False,17.56,21.17,-3.61,3.439,34036,51.4
203312,2751,66250.0,66250.0,-80,66359,-58.17,False,16.03,19.78,-3.75,3.679,32566,49.2
